run,script,symbol,start_date,end_date,granularity,trend_filter_window,sl_atr,tsl_atr,wfo_test_days,wfo_window_years,oos_mean_sharpe,oos_mean_return,oos_mean_drawdown,oos_std_sharpe,oos_std_return,oos_std_drawdown,error
92,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,50,2.5,3.5,180,2.0,,,,,,,Report file not found
95,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,50,3.0,3.0,180,2.0,,,,,,,Report file not found
96,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,50,3.0,3.5,180,2.0,,,,,,,Report file not found
97,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,100,1.5,2.0,180,2.0,,,,,,,Report file not found
98,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,100,1.5,2.5,180,2.0,,,,,,,Report file not found
99,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,100,1.5,3.0,180,2.0,,,,,,,Report file not found
100,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,100,1.5,3.5,180,2.0,,,,,,,Report file not found
101,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,100,2.0,2.0,180,2.0,,,,,,,Report file not found
102,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,100,2.0,2.5,180,2.0,,,,,,,Report file not found
103,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,100,2.0,3.0,180,2.0,,,,,,,Report file not found
104,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,100,2.0,3.5,180,2.0,,,,,,,Report file not found
106,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,100,2.5,2.5,180,2.0,,,,,,,Report file not found
107,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,100,2.5,3.0,180,2.0,,,,,,,Report file not found
108,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,100,2.5,3.5,180,2.0,,,,,,,Report file not found
111,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,100,3.0,3.0,180,2.0,,,,,,,Report file not found
112,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,100,3.0,3.5,180,2.0,,,,,,,Report file not found
129,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,0,1.5,2.0,180,2.0,,,,,,,Report file not found
130,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,0,1.5,2.5,180,2.0,,,,,,,Report file not found
131,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,0,1.5,3.0,180,2.0,,,,,,,Report file not found
132,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,0,1.5,3.5,180,2.0,,,,,,,Report file not found
133,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,0,2.0,2.0,180,2.0,,,,,,,Report file not found
134,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,0,2.0,2.5,180,2.0,,,,,,,Report file not found
135,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,0,2.0,3.0,180,2.0,,,,,,,Report file not found
136,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1h,0,2.0,3.5,180,2.0,,,,,,,Report file not found
